index,text,true_label,length
46,"Late night on BBC1, was on my way to bed but curiosity piqued at a contemporary-set Irish film so I stayed to watch for a few minutes and then stayed to the end. I have to admit that the main attraction was the only English actress, Kelly Reilly, who is stunning to look at.<br /><br />This is billed",1,222
70,"I used to always love the bill because of its great script and characters, but lately i feel as though it has turned into an emotional type of soap. If you look at promotional pictures/posters of the bill now you will see either two of the officers hugging/kissing or something to do with friendships",0,323
88,"i was having a horrid day but this movie grabbed me, and i couldn't put it down until the end... and i had forgotten about my horrid day. and the ending... by the way... where is the sequel!!!<br /><br />the budget is obviously extremely low... but ... look what they did with it! it reminds me of a ",1,744
103,"Great cult flick for MST-3K types: Richard Boone is a mess -- bad hair, arthritis, even his dark glasses aren't right; about as good as a bad dino-flick can get... actually, that charging saber-toothed Styracosaurus was pretty cool -- maybe Spielberg should take a couple of notes from that one.",1,50
104,"I have fond memories of watching this when it came out. It's one of those films that you know is rubbish, even when you're a kid, but at that age you overlook the ludicrous acting, special effects and plot (so there's a race of big-busted nymphets living underground, huh?) and just enjoy the campy m",1,59
108,"This is, without a doubt, the most hilarious movie I've ever seen. Seriously, if the makers of this movie are ever discovered, they'll put guys like Jim Carrey out of a job. Rent ""Jack-O"" tonight! Believe me, you won't regret it!",0,41
119,"Bears about as much resemblance to Dean Koontz's novel as Jessica Simpson does to a rocket scientist. If you've read the book, I suggest you put it as far out of your mind as possible before watching the movie.<br /><br />Watchers is your typical ""Boy meets dog, dog turns out to be super-intelligent",1,389
147,"""Black Dragons"" is a second feature WWII propaganda film popular at the time. It's not as bad as some would have you believe.<br /><br /> A secret meeting hosted by the respected Dr. William Saunders (George Pembroke)is interrupted by a mysterious stranger names Monsieur Colomb (Bela Lugosi). Shortl",0,243
182,"It starts a little slow but give it a chance. In the spirit of the ""Wackiest Ship in the Arm"" and the ""Pink Sub"" this movie is about a not so orthodox group engaged in not so orthodox methods to outwit everyone. Rob Schneider is priceless as a LT that takes himself way too seriously which results in",1,116
187,"Purchased this film for one dollar and figured I could never go wrong, my big mistake was watching it. Enjoyed the acting of Ice-T and the rapping which gave lots of class to this film about Los Angeles and the world of pimps. There is a boxer who kills one of his opponents in a practice ring and wh",0,135
198,"Tumbling Doll of Flesh (aka Niku daruma and Psycho: The Snuff Reels) This was on my want list for quite a while, and then I finally scored a copy on Ebay a while back. It's never been on DVD, and what I got from Ebay was a very good quality DVD-R, which I'm quite satisfied with. The movie is I belie",1,327
207,"While I'm normally a big fan of John Turturro's work as an actor and director, ILLUMINATA is a great disappointment. Although the film has some charming moments, overall it falls flat. Worst of all, the film is confusing. Where is the movie set? Italy or an Italian troupe in New York? Why bother mak",0,97
211,"I'm going to make this short and sweet. It's not surprising that you had no use for this film. This is a story about the power, beauty and possibilities inherent in a meaningful education. Based on your pathetically composed comments I can see that your own education has been woefully neglected... o",1,140
229,"I am sitting here watching the film, Tango and Cash. IT led to a discussion about other great late 80s movies. The ridiculous Tunrer and Hooch, K9 connection came up.<br /><br />Granted I have never seen K9PI and if I still value my life, I never will. Joshua quotes this as his movie of the year. Wo",0,96
255,"This is an OK adaptation of the breath taking book of Dan Brown. I can't say it is novel or very good but they made a movie that you can enjoy. Given the excellent story, the result could have been better though. The movie is pretty long but at the end I was feeling like some things were missing. So",1,177
263,"Greyfriars Bobby was NOT a westie - Bobby was a skye terrier. A highlight of my childhood day trips to Edinburgh was to go to the monument to Bobby. I grew up with the story of the valiant and loyal little dog, as every child in my generation did, and I remember lining up with my mum outside the cin",0,121
279,"For those who expect documentaries to be objective creatures, let me give you a little lesson in American film-making.<br /><br />Documentaries rely heavily on casting. You pick and choose characters you think will enhance the drama and entertainment value of your film.<br /><br />After you have sho",1,257
309,OK...i have seen just about everything....and some are considered classics that shouldn't be ( like all those Halloween movies that suck crap or even Steven king junk).......and some are considered just OK that are really great.....( like carnival of souls )........and then some are just plain ignor,1,210
369,"This HAS to be my guilty pleasure. I am a HUGE fan of 80's movies that were designed to entertain and they didn't care if they offended anyone. This move has no meat, not substance, no deep thought provoking scenes. Just plain old college kids having fun and if a few breasts have to be shown, then s",1,76
428,"This one started excellently. The photography and audio are the best I've experienced in years (okay, months). Especially the use of 'warm' and 'cold' colours in single sequences is astonishing. Also, making Jennifer Lopez whisper most of her lines is an idea in itself, but I'm not sure what Singh w",1,147
437,"Tycoon will never be listed as one of John Wayne's better post Stagecoach film. It's good in spots, has some fine action sequences in the cave in and also in the flood at the climax. But the plot leaves a lot to be desired.<br /><br />What we have in Tycoon is two men who thoroughly dislike each oth",0,250
499,"The CinemaScope color cinematography of Leon Shamroy is quite remarkable here,including his use of colored filters for<br /><br />various scenes. The Alfred Newmann Score has to be the most sensual and seductive score Hollywood ever produced. It's a shame it is no longer available on CD. The actors,",0,169
